Tipo,A,B,C,Correcta,Opt1,Opt2,Opt3,Opt4
sinonimia,huir,escapar,hallar,encontrar,encontrar,buscar,identificar,descubrir
sinonimia,bonito,hermoso,feo,horrible,horrible,desagradable,lamentable,asqueroso
sinonimia,débil,frágil,fuerte,duro,duro,sano,sólido,robusto
sinonimia,dama,mujer,caballero,hombre,hombre,jinete,noble,señor
sinonimia,seguridad,confianza,velocidad,rapidez,rapidez,apresurado,acelerado,lento
complementariedad,canción,música,trazo,pintura,pintura,dibujo,escritura,lienzo
complementariedad,sueño,dormir,hambre,comer,comer,tomar,beber,degustar
complementariedad,cabeza,sombrero,pies,zapatos,zapatos,sandalias,dedos,tacones
complementariedad,frío,invierno,calor,verano,verano,otoño,primavera,frío
complementariedad,barco,marinero,avión,aviador,aviador,piloto,aeroplano,aeronave
cogenéricas,budín,pastel,taza,recipiente,recipiente,contenedor,vasija,envase
cogenéricas,computadora,celular,destornillador,martillo,martillo,serrucho,sierra,mazo
cogenéricas,museo,cine,avenida,calle,calle,carretera,camino,vía
cogenéricas,ballena,delfín,sapo,rana,rana,salamandra,anfibio,lagarto
cogenéricas,rojo,azul,camisa,pantalón,pantalón,jeans,bolso,calzoncillo
antonímicas,blanco,negro,claro,oscuro,oscuro,opaco,confuso,desconocido
antonímicas,verdad,mentira,felicidad,tristeza,tristeza,sentimiento,dolor,soledad
antonímicas,éxito,fracaso,lealtad,traición,traición,sinceridad,fidelidad,verdad
antonímicas,grande,pequeño,verdadero,falso,falso,incierto,mentira,correcto
antonímicas,recordar,olvidar,amar,odiar,odiar,detestar,recordar,felicidad
intensidad,desorden,caos,dolor,agonía,agonía,angustia,mal,pena
intensidad,malo,peor,bueno,mejor,mejor,lindo,malo,hermoso
intensidad,llama,incendio,gota,inundación,inundación,lluvia,río,mar
intensidad,inteligente,genio,rápido,veloz,veloz,lento,pronto,activo
intensidad,pequeño,diminuto,lindo,hermoso,hermoso,bonito,gracioso,perfecto
inclusivas,árbol,bosque,persona,gente,gente,compañía,personas,hombre,humano
inclusivas,Colombia,país,Europa,continente,continente,lugar,sitio,región
inclusivas,vaca,ganado,barco,flota,flota,escuadra,grupo,armada
inclusivas,cocina,restaurante,pantalla,cine,cine,hogar,abanico,película
inclusivas,estrella,constelación,abeja,enjambre,enjambre,abejorro,panal,polen
ubicación,dinero,billetera,joya,joyero,joyero,cofre,joyería,reliquia
ubicación,mesa,comedor,sofá,sala,sala,cuarto,baño,habitación
ubicación,horno,cocina,ducha,baño,baño,cuarto,sala,habitación
ubicación,medicamentos,farmacia,vino,bodega,bodega,almacén,depósito,despensa
ubicación,microscopio,laboratorio,trofeo,vitrina,vitrina,habitación,despensa,sala
causa – efecto,estudio,sabiduría,ejercicio,músculo,músculo,dolor,fuerza,entreno
causa – efecto,instrumento,sonido,luz,visibilidad,visibilidad,calor,visión,ver
causa – efecto,silencio,tranquilidad,ruido,molestia,molestia,cansancio,dolor,angustia
causa – efecto,descansar,bienestar,agotarse,cansarse,cansarse,agotarse,dolor,tristeza
causa – efecto,sol,calor,luna,frío,frío,tibio,dormir,descansar
secuencialidad,embarazo,nacimiento,cachorro,perro,perro,gato,cría,bebé
secuencialidad,renacuajo,rana,niño,adulto,adulto,persona,hombre,maduro
secuencialidad,octubre,noviembre,bebé,niño,niño,niña,joven,cría,criatura
secuencialidad,ternero,toro,madre,abuela,abuela,anciano,mayor,vieja
secuencialidad,dormir,despertar,segundo,minuto,minuto,hora,tiempo,reloj
función,brújula,orientar,martillo,clavar,clavar,golpear,romper,construir
función,profesor,enseñar,estudiante,aprender,aprender,jugar,leer,escribir
función,cocinero,cocinar,celular,llamar,llamar,escribir,jugar,leer
función,regla,medir,cuchillo,cortar,cortar,separar,picar,romper
función,escoba,barrer,cepillo,peinar,peinar,limpiar,fregar,raspar
reciprocidad,paciente,médico,madre,hijo,hijo,niño,bebé,joven
reciprocidad,música,sonido,literatura,palabra,palabra,oración,texto,párrafo
reciprocidad,aprendiz,maestro,edificio,columna,columna,viga,concreto,piso
reciprocidad,graduarse,estudiar,triunfar,esforzarse,esforzarse,leer,prácticar,jugar
reciprocidad,maestro,estudiante,demanda,oferta,oferta,producto,consumidor,cliente
producto,arena,vidrio,naranja,jugo,jugo,fresco,jalea,miel
producto,tomate,salsa,papa,puré,puré,mantequilla,leche,cena
producto,trigo,pan,cacao,chocolate,chocolate,dulces,confites,caramelos
producto,árbol,leña,girasol,aceite,aceite,colorante,comida,aromas
producto,caña,azúcar,maíz,tortilla,tortilla,queque,cereal,empanada
instrumento,sastre,aguja,profesor,pizarra,pizarra,cuaderno,libro,lápiz
instrumento,escultor,cincel,futbolista,bola,bola,raqueta,bate,bicicleta
instrumento,ciclista,bicicleta,escritor,pluma,pluma,cantar,leer,libro
instrumento,árbitro,silvato,peluquero,tijera,tijera,cepillo,rasuradora,peine
instrumento,cocinero,sartén,cirujano,bisturí,bisturí,aguja,anteojos,cuchillo
característica,invierno,frío,verano,caluroso,caluroso,soleado,calor,playa
característica,pimienta,picante,café,amargo,amargo,dulce,caliente,negro
característica,perro,grande,cachorro,pequeño,pequeño,bebé,joven,enano
característica,diamante,brillante,carbón,opaco,opaco,negro,feo,aspero
característica,día,luminoso,noche,oscuro,oscuro,frío,peligroso,sueño
