Tipo,A,B,C,Correcta,Opt1,Opt2,Opt3,Opt4
sinonimia,limpio,aseado,honesto,íntegro,íntegro,completo,cuidadoso,deshonesto
sinonimia,cauteloso,cuidadoso,lindo,bonito,bonito,marchito,aseado,feo
sinonimia,calmar,atenuar,castigar,sancionar,sancionar,despreciar,capacitar,premiar
sinonimia,demente,loco,fiel,leal,leal,capaz,cuidadoso,traicionero
sinonimia,fragmento,pedazo,garage,cochera,cochera,calle,edificio,esquina
complementariedad,conducir,coche,caminar,piernas,piernas,manos,velocidad,correr
complementariedad,estudiar,libro,jugar,juguete,juguete,trabajo,alimento,compañero
complementariedad,bote,mar,auto,tierra,tierra,aire,llanta,cochera
complementariedad,jabón,limpiar,lentes,ver,ver,oír,escuchar,contar
complementariedad,reír,chiste,llorar,castigo,castigo,premio,secuencia,alegría
cogenérica,cuaderno,libro,parlante,audífonos,audífonos,silencio,sonido,piano
cogenérica,lapiz,lapicero,carro,camión,camión,bote,avión,calle
cogenérica,blusa,camisa,sombrero,gorra,gorra,pantalón,bolso,cabello
cogenérica,zapato,sandalia,taza,vaso,vaso,plato,mesa,gato
cogenérica,paloma,gallina,koala,canguro,canguro,pollito,gato,humano
antonimica,libertad,esclavitud,exterior,interior,interior,jardín,colmena,habitación
antonimica,preocupado,despreocupado,caos,orden,orden,limpieza,escoba,casa
antonimica,protegido,vulnerable,capaz,incapaz,incapaz,inteligente,vago,trabajador
antonimica,inquietud,tranquilidad,amor,odio,odio,amabilidad,capacidad,pareja
antonimica,rencor,perdón,conocimiento,ignorancia,ignorancia,sabiduría,estudio,pereza
intensidad,automóvil,camioneta,casa,mansión,mansión,terreno,inversión,carro
intensidad,riachuelo,río,sendero,calle,calle,paseo,caminata,carro
intensidad,silla,sillón,malo,malvado,malvado,contricante,bueno,miedoso
intensidad,mentira,engaño,cálido,caliente,caliente,cocina,hogar,frío
intensidad,tranquilo,imperturbable ,ruidoso,estruendoso,estruendoso,cuidadoso,silencioso,agitado
inclusiva,felino,gato,ave,paloma,paloma,perro,ballena,persona
inclusiva,auto,llanta,casa,puerta,puerta,edificio,calor,hogar
inclusiva,gente,persona,cuerpo,miembro,miembro,dolor,completo,hermoso
inclusiva,árbol,rama,tela,hilo,hilo,plástico,carbón,ropa
inclusiva,flor,pétalo,camisa,manga,manga,zapato,hueco,color
ubicación,carro,cochera,moneda,monedero,monedero,bolso,pago,precio
ubicación,ficha,fichero,diente,boca,boca,mano,comida,animal
ubicación,cama,habitación,sillón,sala,sala,cocina,calle,basurero
ubicación,pizarra,aula,acera,calle,calle,casa,edificio,construcción
ubicación,libro,librero,flor,jardín,jardín,felicidad,árbol,agua
causa-efecto,delincuencia,inseguridad,orgullo,arrogancia,arrogancia,comprensión,amabilidad,enojo
causa-efecto,jugar,diversión,cocinar,comida,comida,trabajo,helado,chef
causa-efecto,descuido,accidente,vigilancia,seguridad,seguridad,inseguridad,capacidad,policía
causa-efecto,mentira,desconfianza,inconsistencia,fracaso,fracaso,éxito,verdad,esfuerzo
causa-efecto,vapor,humedad,calor,sequedad,sequedad,agua,sed,dolor
secuencialidad,primero,segundo,problema,solución,solución,error,complicación,mejora
secuencialidad,inicio,fin,conocido,amigo,amigo,enemigo,vecino,trabajador
secuencialidad,noviazgo,matrimonio,aprender,enseñar,enseñar,discutir,jugar,trabajar
secuencialidad,matrimonio,divorcio,cena,postre,postre,comida,bebida,desayuno
secuencialidad,empacado,enviado,congelado,descongelado,descongelado,caliente,frío,sabroso
función,piernas,caminar,cámara,fotografía,fotografía,comida,fotógrafo,artista
función,bombillo,iluminar,voz,hablar,hablar,ver,saborear,comer
función,ropa,vestir,comida,alimentar,alimentar,beber,comer,cocinero
función,escoba,barre,paño,limpiar,limpiar,sucio,mojado,tela
función,alas,volar,nariz,oler,oler,ver,agradable,perfume
reciprocidad,estudiante,profesor,paciente,doctor,doctor,albañil,presidente,policía
reciprocidad,madre,hijo,dueño,mascota,mascota,actor,dinero,viejo
reciprocidad,jefe,empleado,accidente,rescate,rescate,tragedia,trabajo,compensación
reciprocidad,espectáculo,audiencia,patrocinador,patrocinado,patrocinado,actor,compra,dueño
reciprocidad,vigilante,vigilado,noche,luna,luna,nube,animal,camino
producto,hilo,tela,madera,leña,leña,camisa,leñador,acha
producto,escritor,novela,cantante,canción,canción,piano,autor,espectáculo
producto,lana,abrigo,cacao,chocolate,chocolate,siembra,agricultor,polvo
producto,soldador,soldadura,estilista,corte,corte,tijeras,ropa,disgusto
producto,juez,sentencia,criminal,crimen,crimen,libertad,justicia,corte
instrumento,cantante,micrófono,dibujante,lápiz,lápiz,blanco,pintura,dibujo
instrumento,pianista,piano,violinista,violín,violín,piano,orquesta,música
instrumento,cocinero,cocina,parrillero,parrilla,parrilla,asado,comida,cocinero
instrumento,nadador,piscina,futbolista,balón,balón,equipo,jugador,partido
instrumento,estilista,tijeras,carnicero,cuchillo,cuchillo,carne,res,oficio
característica,sótano,oscuridad,jardín,luz,luz,flor,jardinero,casa
característica,estudiante,disciplinado,empleado,trabajador,trabajador,trabajo,éxito,dinero
característica,gato,ágil,perezoso,torpe,torpe,oso,árbol,hoja
característica,guerrero,fuerza,bailarín,gracia,gracia,vestuario,baile,escenario
característica,vestido,largo,pantalón,corto,corto,mujer,ropa,vestir
