Tipo,A,B,C,Correcta,Opt1,Opt2,Opt3,Opt4
sinonimia,indicio,señal,venda,vendaje,vendaje,lienzo,banda,liga
sinonimia,almohada,almohadón,antepasado,ancestro,ancestro,progenitor,abuelo,mayor
sinonimia,ruidoso,escandaloso,flojo,inactivo,inactivo,activo,abandonado,sucio
sinonimia,maduro,sensato,salvaje,silvestre,silvestre,joven,originario,imprudente
sinonimia,coche,auto,suciedad,mugre,mugre,tontería,guarrada,indecencia
complementariedad,cansancio,descanso,energía,ejercicio,ejercicio,calle,motor,explosión
complementariedad,volar,alas,caminar,piernas,piernas,brazos,rodillas,torso
complementariedad,equipo,jugador,carro,motor,motor,arco,tornillo,auto
complementariedad,martillo,clavo,tuerca,tornillo,tornillo,clavo,alicate,grapa
complementariedad,ametralladora,bala,ducha,agua,agua,vapor,hielo,niebla
cogenéricas,perro,gato,vaca,caballo,caballo,tigre,leopardo,elefante
cogenéricas,cáncer,asma,vacuna,pastilla,pastilla,escudo,enfermedad,cura
cogenéricas,atún,bacalao,elefante,hipopótamo,hipopótamo,tigre,oso,ballena
cogenéricas,tigre,león,gacela,cebra,cebra,puma,leopardo,rinoceronte
cogenéricas,martillo,taladro,carro,moto,moto,tornillo,caballo,calle
antonímicas,duro,blando,hermético,evidente,evidente,sellado,estancado,ordenado
antonímicas,esperanza,desesperanza,elevación,planicie,planicie,subida,caída,montaña
antonímicas,guerra,paz,utilidad,inutilidad,inutilidad,ambigüedad,desinterés,aburrimiento
antonímicas,suciedad,limpieza,libertad,encierro,encierro,cárcel,abuso,golpe
antonímicas,capturar,liberar,soltar,sostener,sostener,apresar,encarcelar,jalar
intensidad,inteligente,genio,rápido,veloz,veloz,lento,tranquilo,fuerte
intensidad,conocimiento,sabiduría,sabroso,exquisito,exquisito,inteligente,fuerte,sustancioso
intensidad,ruidoso,estridente,grande,colosal,colosal,empinado,llano,fuerte
intensidad,brisa,huracán,colina,montaña,montaña,rio,valle,precipicio
intensidad,enojo,furia,tristeza,depresión,depresión,alegría,frivolidad,prudencia
inclusivas,vaca,ganado,nave,flota,flota,manada,grupo,gente
inclusivas,agua,botella,sopa,cacerola,cacerola,pizza,helado,agua
inclusivas,sociología,humanidades,fútbol,deporte,deporte,letras,ingenierías,artes
inclusivas,orca,cetáceo,cocodrilo,reptil,reptil,lagartija,lagarto,ballena
inclusivas,capítulo,novela,canción,disco,disco,disquera,reproductor,altavoz
ubicación,gafas,estuche,ceniza,cenicero,cenicero,estuche,taza,vaso
ubicación,película,filmoteca,fotografía,fototeca,fototeca,biblioteca,fonoteca,televisión
ubicación,horno,cocina,ducha,baño,baño,microondas,refrigeradora,sillón
ubicación,azúcar,azucarera,té,tetera,tetera,vaso,copa,plato
ubicación,llave,llavero,hojas,carpeta,carpeta,cajón,caja,bolso
causa – efecto,tormenta,trueno,estrés,agotamiento,agotamiento,alegría,depresión,entusiasmo
causa – efecto,gravedad,caída,ingravidez,levitación,levitación,corrupción,usurpación,apropiación
causa – efecto,fuerza,movimiento,temporal,inundación,inundación,terremoto,asesinato,mordida
causa – efecto,chiste,risa,tristeza,llanto,llanto,sonrisa,gimoteo,quejido
causa – efecto,preguntar,responder,llamar,contestar,contestar,gritar,caminar,pasar
secuencialidad,mañana,mediodía,atardecer,noche,noche,tarde,almuerzo,crepúsculo
secuencialidad,invierno,primavera,alimentación,digestión,digestión,excreción,erección,emoción
secuencialidad,octubre,noviembre,bebé,niño,niño,perro,vegetal,amigo
secuencialidad,aprender,enseñar,equivocarse,corregir,corregir,aprender,mantener,sostener
secuencialidad,segundo,minuto,metro,decímetro,decímetro,centímetro,milímetro,picómetro
función,regla,medir,ascensor,subir,subir,bajar,brincar,matar
función,conductor,manejar,abogado,defender,defender,inculpar,matar,palpar
función,cama,dormir,ropero,guardar,guardar,matar,viajar,patear
función,cuaderno,anotar,lápiz,dibujar,dibujar,batir,pulir,borrar
función,juez,dictaminar,presidente,gobernar,gobernar,robar,matar,bombardear
reciprocidad,lluvia,nube,trueno,relámpago,relámpago,luz,estruendo,susto
reciprocidad,secar,mojar,limpiar,ensuciar,ensuciar,tirar,maltratar,erradicar
reciprocidad,soltar,agarrar,abrir,cerrar,cerrar,maltratar,patear,tratar
reciprocidad,respuesta,estímulo,negocio,clientela,clientela,perdida,burla,felicidad
reciprocidad,demanda,oferta,cazador,presa,presa,postre,cena,barriga
producto,cemento,casa,cobre,tubo,tubo,cerámica,techo,piso
producto,lutier,guitarra,director,película,película,proyecto,trabajo,empresa
producto,girasol,aceite,celulosa,papel,papel,cartón,implantes,pantalones
producto,aceite,margarina,leche,manteca,manteca,pichel,vaca,mamá
producto,caucho,neumático,semilla,planta,planta,hortaliza,agua,células
instrumento,plomero,cortatubos,recepcionista,teléfono,teléfono,uñas,megáfono,tacones
instrumento,maquillador,maquillaje,piloto,avión,avión,carro,autobús,paracaídas
instrumento,futbolista,balón,aviador,avión,avión,carro,autobús,paracaídas
instrumento,comediante,chiste,bailarín,música,música,cabeza,talento,destreza
instrumento,exterminador,veneno,médico,estetoscopio,estetoscopio,talento,destreza,nariz
característica,desierto,árido,campo,fértil,fértil,lindo,frío,caliente
característica,mono,mamífero,sapo,anfibio,anfibio,animal,feo,lindo
característica,lobo,salvaje,perro,doméstico,doméstico,hambriento,satisfecho,tonto
característica,serenidad,sueño,intranquilidad,pesadilla,pesadilla,realidad,caída,tristeza
característica,glaciar,inmenso,hormiga,pequeño,pequeño,peligroso,dañado,desaparecido
